City,Latitude,Longitude,Maximum_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
chik,54.9928,82.4311,65.95,59.0,84.0,6.71,RU,1627772032.0
talnakh,69.4865,88.3972,53.22,83.0,21.0,9.01,RU,1627771951.0
jacareacanga,-6.2222,-57.7528,81.1,43.0,77.0,1.77,BR,1627772033.0
skaudvile,55.4167,22.6167,58.33,96.0,27.0,5.39,LT,1627772033.0
richards bay,-28.783,32.0377,60.46,85.0,0.0,9.53,ZA,1627772034.0
coquimbo,-29.9533,-71.3436,53.33,82.0,0.0,5.75,CL,1627772034.0
atuona,-9.8,-139.0333,76.89,69.0,41.0,13.6,PF,1627772035.0
praya,14.9215,-23.5087,77.54,78.0,40.0,13.8,CV,1627772035.0
cherskiy,68.75,161.3,41.38,92.0,100.0,13.98,RU,1627772035.0
cape town,-33.9258,18.4232,58.08,88.0,75.0,1.01,ZA,1627771925.0
camopi,3.1655,-52.3158,72.97,98.0,98.0,3.09,GF,1627772036.0
jamestown,42.097,-79.2353,71.1,60.0,1.0,13.8,US,1627771830.0
bathsheba,13.2167,-59.5167,83.01,74.0,40.0,17.27,BB,1627772037.0
cazaje,,,,,,,,
yar-sale,66.8333,70.8333,44.82,90.0,14.0,8.12,RU,1627772037.0
butaritari,3.0707,172.7902,81.86,75.0,43.0,9.01,KI,1627771829.0
quang ngai,15.1167,108.8,80.24,72.0,65.0,4.72,VN,1627772038.0
kruisfontein,-34.0033,24.7314,56.26,31.0,63.0,4.68,ZA,1627772038.0
kulunda,52.566,78.9385,67.32,40.0,27.0,4.9,RU,1627772039.0
fairbanks,64.8378,-147.7164,79.61,45.0,1.0,3.44,US,1627771940.0
flinders,-34.5833,150.8552,73.38,50.0,1.0,8.41,AU,1627772039.0
huarmey,-10.0681,-78.1522,66.09,80.0,15.0,12.68,PE,1627771975.0
sorland,67.667,12.6934,49.32,78.0,100.0,10.54,NO,1627772040.0
port lincoln,-34.7333,135.8667,50.23,78.0,3.0,8.59,AU,1627772040.0
georgetown,5.4112,100.3354,78.73,93.0,20.0,3.44,MY,1627771942.0
tautira,-17.7333,-149.15,80.62,61.0,93.0,11.41,PF,1627772041.0
yarmouth,41.7057,-70.2286,73.38,63.0,0.0,8.99,US,1627771932.0
mabaruma,8.2,-59.7833,76.1,88.0,12.0,3.36,GY,1627771918.0
kavieng,-2.5744,150.7967,82.87,69.0,28.0,4.27,PG,1627772041.0
bandarbeyla,9.4942,50.8122,75.16,84.0,88.0,24.43,SO,1627772042.0
karachi,24.9056,67.0822,80.42,83.0,75.0,20.71,PK,1627771910.0
yamada,39.4667,141.95,77.63,84.0,89.0,7.81,JP,1627772042.0
merauke,-8.4667,140.3333,76.3,87.0,90.0,12.84,ID,1627772042.0
sarangani,5.4033,125.4636,83.34,76.0,84.0,8.01,PH,1627772043.0
albany,42.6001,-73.9662,71.55,53.0,43.0,6.24,US,1627771892.0
vardo,70.3705,31.1107,48.33,92.0,99.0,10.76,NO,1627772043.0
ahipara,-35.1667,173.1667,58.39,64.0,9.0,5.26,NZ,1627771976.0
gonc,48.4667,21.2833,65.95,90.0,6.0,2.48,HU,1627772044.0
mahebourg,-20.4081,57.7,70.25,78.0,40.0,12.66,MU,1627772044.0
guerrero negro,27.9769,-114.0611,83.41,51.0,11.0,13.98,MX,1627771890.0
coahuayana,18.7333,-103.6833,86.63,67.0,97.0,4.59,MX,1627772045.0
chokurdakh,70.6333,147.9167,41.22,77.0,100.0,20.6,RU,1627772045.0
provideniya,64.3833,-173.3,46.02,80.0,95.0,4.63,RU,1627772046.0
hobart,-42.8794,147.3294,46.26,72.0,75.0,5.01,AU,1627771907.0
new norfolk,-42.7826,147.0587,45.91,59.0,11.0,5.19,AU,1627771871.0
evensk,61.95,159.2333,54.73,56.0,65.0,4.63,RU,1627772046.0
thompson,55.7435,-97.8558,75.36,41.0,75.0,11.5,CA,1627772047.0
chiriqui,8.4,-82.3167,89.69,74.0,40.0,12.66,PA,1627772047.0
sitka,57.0531,-135.33,69.69,69.0,88.0,5.68,US,1627772048.0
bayir,37.2687,28.2167,73.92,25.0,0.0,3.85,TR,1627772048.0
diffa,13.3154,12.6113,82.6,59.0,84.0,6.2,NE,1627772048.0
izazi,-7.2,35.7333,65.05,55.0,28.0,3.29,TZ,1627772049.0
khakurinokhabl,45.0201,40.2291,69.73,65.0,1.0,6.51,RU,1627772049.0
san luis,-33.295,-66.3356,50.7,33.0,2.0,6.91,AR,1627771885.0
dandong,40.1292,124.3947,76.75,89.0,42.0,4.47,CN,1627772050.0
pringsewu,-5.3582,104.9744,72.48,97.0,23.0,2.84,ID,1627772050.0
tsihombe,,,,,,,,
vestmanna,62.1564,-7.1664,45.52,81.0,90.0,11.5,FO,1627772050.0
bethel,41.3712,-73.414,75.34,65.0,0.0,1.92,US,1627772051.0
glen allen,37.666,-77.5064,84.22,61.0,1.0,1.99,US,1627772008.0
upernavik,72.7868,-56.1549,43.39,77.0,100.0,3.69,GL,1627771965.0
hofn,64.2539,-15.2082,51.01,90.0,21.0,7.43,IS,1627772051.0
nibbar,36.2941,8.7666,84.88,42.0,20.0,3.4,TN,1627772052.0
khatanga,71.9667,102.5,65.35,70.0,80.0,10.4,RU,1627772052.0
kaitangata,-46.2817,169.8464,49.23,96.0,100.0,2.77,NZ,1627772053.0
mar del plata,-38.0023,-57.5575,50.13,28.0,0.0,11.01,AR,1627771823.0
bara,10.3744,10.7288,72.27,94.0,98.0,5.61,NG,1627772053.0
karkaralinsk,,,,,,,,
lerwick,60.1545,-1.1494,51.8,81.0,86.0,17.85,GB,1627772054.0
pisco,-13.7,-76.2167,66.25,68.0,0.0,10.36,PE,1627772054.0
aklavik,68.2191,-135.0107,77.83,37.0,91.0,15.19,CA,1627771957.0
ayorou,14.7308,0.9174,89.55,46.0,36.0,9.13,NE,1627772055.0
atyrau,47.1167,51.8833,71.62,24.0,0.0,2.24,KZ,1627772055.0
macae,-22.3708,-41.7869,62.35,88.0,75.0,3.44,BR,1627772056.0
tasiilaq,65.6145,-37.6368,42.12,79.0,64.0,2.82,GL,1627772056.0
barentsburg,,,,,,,,
cayenne,4.9333,-52.3333,83.08,79.0,0.0,1.99,GF,1627771992.0
bengkulu,-3.8004,102.2655,74.23,91.0,32.0,2.91,ID,1627771950.0
carauari,-4.8828,-66.8958,75.96,51.0,42.0,1.83,BR,1627772057.0
rundu,-17.9333,19.7667,53.04,39.0,1.0,7.0,NA,1627772057.0
avarua,-21.2078,-159.775,75.25,73.0,75.0,8.05,CK,1627771875.0
bambous virieux,-20.3428,57.7575,70.21,78.0,40.0,12.66,MU,1627772058.0
mezen,65.8522,44.24,46.81,98.0,65.0,4.9,RU,1627772058.0
bolungarvik,,,,,,,,
nanortalik,60.1432,-45.2371,47.64,82.0,89.0,10.67,GL,1627772059.0
tete,-16.1564,33.5867,71.69,68.0,75.0,5.99,MZ,1627772059.0
timmins,48.4669,-81.3331,66.02,59.0,75.0,8.05,CA,1627771806.0
kupiskis,55.8333,24.9667,59.76,97.0,66.0,7.99,LT,1627772060.0
saskylakh,71.9167,114.0833,73.0,38.0,0.0,8.75,RU,1627772060.0
torbay,47.6666,-52.7314,65.17,82.0,40.0,20.71,CA,1627771848.0
bluff,-46.6,168.3333,48.79,93.0,100.0,2.06,NZ,1627772061.0
lavrentiya,65.5833,-171.0,43.02,86.0,100.0,7.36,RU,1627772061.0
roebourne,-20.7833,117.1333,59.83,50.0,2.0,8.63,AU,1627772061.0
andenes,69.3143,16.1194,46.38,87.0,90.0,9.22,NO,1627772062.0
calvinia,-31.4707,19.776,55.17,26.0,49.0,5.14,ZA,1627772062.0
carnarvon,-24.8667,113.6333,53.67,57.0,90.0,3.44,AU,1627772063.0
felidhoo,,,,,,,,
yerbogachen,61.2767,108.0108,61.23,55.0,3.0,6.91,RU,1627772063.0
tiksi,71.6872,128.8694,41.09,86.0,94.0,8.77,RU,1627771908.0
mys shmidta,,,,,,,,
victoria,22.2855,114.1577,85.32,91.0,99.0,8.99,HK,1627772064.0
sao filipe,14.8961,-24.4956,75.81,84.0,84.0,8.21,CV,1627772064.0
east london,-33.0153,27.9116,66.09,25.0,95.0,6.6,ZA,1627771885.0
poum,-20.2333,164.0167,69.78,56.0,19.0,17.58,NC,1627772065.0
rocha,-34.4833,-54.3333,45.99,78.0,29.0,4.38,UY,1627772066.0
barrow,71.2906,-156.7887,48.22,94.0,90.0,19.57,US,1627771834.0
kavaratti,10.5669,72.642,81.1,81.0,18.0,15.37,IN,1627772066.0
constitucion,-35.3333,-72.4167,52.75,80.0,45.0,8.21,CL,1627772067.0
mataura,-46.1927,168.8643,48.47,100.0,100.0,1.99,NZ,1627772067.0
souillac,-20.5167,57.5167,70.36,78.0,40.0,12.66,MU,1627772067.0
namibe,-15.1961,12.1522,68.11,84.0,23.0,5.66,AO,1627772068.0
busselton,-33.65,115.3333,46.04,72.0,91.0,28.92,AU,1627771859.0
ribeira grande,38.5167,-28.7,71.69,84.0,45.0,6.76,PT,1627771823.0
phangnga,8.4509,98.5298,82.9,94.0,99.0,4.72,TH,1627772068.0
svetlaya,46.5389,138.3297,64.83,93.0,100.0,11.86,RU,1627772069.0
kalmunai,7.4167,81.8167,79.27,76.0,100.0,2.06,LK,1627772056.0
nizhneyansk,,,,,,,,
pietarsaari,63.65,22.6833,60.89,92.0,60.0,6.55,FI,1627772069.0
kazalinsk,,,,,,,,
egvekinot,66.3167,-179.1667,39.52,60.0,87.0,3.56,RU,1627772070.0
havelock,34.8791,-76.9013,91.63,85.0,75.0,9.22,US,1627772070.0
karasburg,-28.0167,18.75,57.81,21.0,1.0,9.22,NA,1627772071.0
singarayakonda,15.25,80.0333,83.75,58.0,100.0,18.72,IN,1627772071.0
chuy,-33.6971,-53.4616,47.68,92.0,0.0,4.72,UY,1627772072.0
keita,14.7551,5.7749,85.68,56.0,55.0,9.01,NE,1627772072.0
launceston,-41.45,147.1667,47.8,94.0,18.0,3.0,AU,1627772072.0
sentyabrskiy,,,,,,,,
muros,42.7762,-9.0603,63.84,84.0,90.0,1.83,ES,1627772073.0
saint-joseph,-21.3667,55.6167,64.76,80.0,16.0,11.27,RE,1627772074.0
ibb,13.9667,44.1833,65.73,76.0,33.0,2.55,YE,1627772074.0
laguna,38.421,-121.4238,104.22,28.0,40.0,5.99,US,1627772074.0
mnogovershinnyy,53.9353,139.9242,48.16,87.0,100.0,2.75,RU,1627772075.0
warqla,,,,,,,,
jaipur hat,,,,,,,,
synevyr,48.4875,23.6258,63.41,77.0,29.0,1.59,UA,1627772075.0
yanam,16.7333,82.2167,79.0,79.0,100.0,5.68,IN,1627772076.0
imbituba,-28.24,-48.6703,60.69,90.0,47.0,8.63,BR,1627771868.0
borovoy,55.4333,86.0833,58.28,88.0,0.0,4.47,RU,1627772076.0
illoqqortoormiut,,,,,,,,
ndele,8.4109,20.6473,69.91,98.0,100.0,0.54,CF,1627772077.0
puerto ayora,-0.7393,-90.3518,76.96,88.0,45.0,4.0,EC,1627772077.0
berlevag,70.8578,29.0864,48.42,92.0,100.0,8.1,NO,1627771930.0
tuktoyaktuk,69.4541,-133.0374,55.4,94.0,75.0,3.44,CA,1627771816.0
hami,42.8,93.45,77.31,39.0,100.0,8.63,CN,1627772078.0
bredasdorp,-34.5322,20.0403,53.28,93.0,100.0,5.75,ZA,1627771843.0
aksha,50.2814,113.2867,57.34,72.0,20.0,2.35,RU,1627772078.0
aykhal,66.0,111.5,69.08,34.0,2.0,4.14,RU,1627771905.0
los llanos de aridane,28.6585,-17.9182,71.13,80.0,40.0,18.41,ES,1627772079.0
nome,64.5011,-165.4064,49.1,93.0,90.0,16.11,US,1627772079.0
balancan,17.8,-91.5333,88.36,61.0,69.0,8.12,MX,1627772080.0
nuuk,64.1835,-51.7216,50.88,71.0,72.0,3.31,GL,1627772080.0
rio grande,-32.035,-52.0986,50.95,89.0,0.0,8.5,BR,1627772081.0
san rafael,-34.6177,-68.3301,52.63,47.0,14.0,6.13,AR,1627771972.0
berbera,10.4396,45.0143,88.32,35.0,72.0,20.58,SO,1627772081.0
naliya,23.2667,68.8333,81.03,82.0,100.0,23.49,IN,1627772082.0
kudahuvadhoo,2.6708,72.8944,81.84,75.0,98.0,6.82,MV,1627772082.0
rincon,32.296,-81.2354,94.96,64.0,40.0,9.22,US,1627771893.0
safaga,26.7292,33.9365,87.75,47.0,38.0,1.14,EG,1627772053.0
esperance,-33.8667,121.9,49.84,86.0,55.0,26.35,AU,1627771929.0
nayudupeta,13.9,79.9,83.48,53.0,91.0,11.92,IN,1627772083.0
iqaluit,63.7506,-68.5145,51.53,71.0,75.0,3.0,CA,1627771930.0
rosetta,31.4044,30.4164,78.62,75.0,0.0,3.53,EG,1627772083.0
sumbe,-11.2061,13.8437,69.93,93.0,4.0,6.11,AO,1627772084.0
galle,6.0367,80.217,78.53,86.0,52.0,11.83,LK,1627772084.0
kungurtug,50.5994,97.5228,53.94,99.0,100.0,2.06,RU,1627772084.0
dzilam gonzalez,21.2833,-88.9333,78.67,91.0,49.0,7.43,MX,1627772085.0
doctor juan leon mallorquin,-25.4,-55.2667,56.93,93.0,100.0,2.66,PY,1627772085.0
fare,-16.7,-151.0167,77.29,63.0,100.0,15.75,PF,1627772086.0
bati,11.1833,40.0167,67.68,71.0,93.0,5.93,ET,1627772086.0
sitio novo do tocantins,-5.5183,-47.4611,87.28,30.0,40.0,4.85,BR,1627772086.0
esso,55.9333,158.7,57.34,59.0,88.0,8.34,RU,1627772087.0
arrecife,28.963,-13.5477,71.67,78.0,20.0,27.63,ES,1627772087.0
longyearbyen,78.2186,15.6401,44.44,70.0,75.0,10.36,SJ,1627772088.0
bubaque,11.2833,-15.8333,77.65,90.0,100.0,19.66,GW,1627771932.0
san quintin,30.4833,-115.95,75.79,66.0,40.0,13.73,MX,1627772088.0
saint-georges,12.0564,-61.7485,83.88,84.0,40.0,18.41,GD,1627772088.0
apaxtla,,,,,,,,
nabire,-3.3667,135.4833,77.63,87.0,95.0,2.62,ID,1627772089.0
leningradskiy,69.3833,178.4167,34.36,90.0,100.0,16.71,RU,1627772090.0
westfield,42.1251,-72.7495,74.84,52.0,1.0,1.01,US,1627771842.0
grand gaube,-20.0064,57.6608,70.38,76.0,0.0,5.01,MU,1627771970.0
puerto escondido,15.85,-97.0667,85.15,77.0,36.0,8.75,MX,1627772090.0
yeppoon,-23.1333,150.7333,67.78,72.0,0.0,6.73,AU,1627772091.0
broome,42.2506,-75.833,72.66,59.0,9.0,1.01,US,1627772091.0
salinas,36.6777,-121.6555,90.97,66.0,0.0,8.95,US,1627772091.0
umm ruwabah,,,,,,,,
matay,28.419,30.7792,86.85,28.0,7.0,7.63,EG,1627772092.0
belushya guba,,,,,,,,
tilichiki,60.4667,166.1,55.17,42.0,34.0,4.68,RU,1627772079.0
batsfjord,70.6345,29.7185,47.93,95.0,100.0,5.53,NO,1627772093.0
geraldton,-28.7667,114.6,61.21,63.0,90.0,18.41,AU,1627772093.0
moose factory,51.2585,-80.6094,66.2,55.0,1.0,6.91,CA,1627772093.0
turan,16.0678,108.2208,89.65,51.0,20.0,5.75,VN,1627772094.0
yokadouma,3.5167,15.05,70.41,97.0,100.0,2.33,CM,1627772094.0
shreveport,32.5251,-93.7502,97.34,52.0,1.0,11.5,US,1627771901.0
lompoc,34.6391,-120.4579,90.01,73.0,20.0,17.27,US,1627772095.0
svetlogorsk,52.6333,29.7333,65.08,90.0,100.0,8.99,BY,1627772095.0
conceicao das alagoas,-19.9147,-48.3883,74.98,34.0,14.0,4.99,BR,1627772096.0
manjakandriana,-18.9167,47.8,49.69,97.0,41.0,3.31,MG,1627772096.0
termoli,41.9888,14.9895,81.12,44.0,0.0,10.2,IT,1627772097.0
kysyl-syr,63.8986,122.7617,71.01,45.0,8.0,4.21,RU,1627772097.0
vao,-22.6667,167.4833,66.74,59.0,0.0,20.11,NC,1627772098.0
ancud,-41.8697,-73.8203,44.13,80.0,31.0,2.8,CL,1627772098.0
landang,,,,,,,,
chicama,-7.8447,-79.1469,64.94,75.0,5.0,9.4,PE,1627771822.0
havoysund,70.9963,24.6622,45.48,86.0,100.0,5.84,NO,1627772099.0
clyde river,70.4692,-68.5914,43.03,87.0,75.0,6.91,CA,1627772100.0
cap malheureux,-19.9842,57.6142,70.47,77.0,0.0,5.01,MU,1627772100.0
urzhum,57.1141,49.9996,60.4,90.0,27.0,7.36,RU,1627772100.0
lolua,,,,,,,,
mount isa,-20.7333,139.5,71.37,56.0,90.0,2.3,AU,1627771812.0
khabary,53.6259,79.5345,63.61,48.0,59.0,4.32,RU,1627772101.0
siilinjarvi,63.0833,27.6667,60.82,88.0,0.0,5.75,FI,1627772102.0
kilinochchi,9.3961,80.3982,79.79,80.0,30.0,11.27,LK,1627772102.0
smidovich,48.6,133.8167,64.89,75.0,96.0,14.88,RU,1627772103.0
saint-philippe,-21.3585,55.7679,65.75,84.0,36.0,10.96,RE,1627772103.0
coihaique,-45.5752,-72.0662,39.81,70.0,0.0,3.44,CL,1627771926.0
halalo,,,,,,,,
arraial do cabo,-22.9661,-42.0278,66.87,62.0,95.0,12.21,BR,1627771977.0
karratha,-20.7377,116.8463,59.36,49.0,2.0,9.04,AU,1627771820.0
beyneu,45.3167,55.2,83.19,17.0,0.0,9.35,KZ,1627772104.0
ruteng,-8.6136,120.4721,62.55,91.0,69.0,3.78,ID,1627772105.0
dingle,10.9995,122.6711,79.59,88.0,98.0,7.49,PH,1627772105.0
abnub,27.2696,31.1511,86.22,18.0,23.0,3.76,EG,1627772106.0
port blair,11.6667,92.75,81.72,82.0,100.0,17.56,IN,1627772106.0
luderitz,-26.6481,15.1594,68.63,26.0,0.0,7.56,NA,1627772107.0
hualmay,-11.0964,-77.6139,64.98,79.0,27.0,12.08,PE,1627772108.0
bambanglipuro,-7.95,110.2833,76.19,84.0,91.0,11.21,ID,1627772108.0
zhezkazgan,47.8043,67.7144,76.06,20.0,1.0,4.56,KZ,1627772108.0
huanren,41.2647,125.3667,74.19,95.0,69.0,4.14,CN,1627772109.0
puri,19.8,85.85,81.12,78.0,100.0,10.27,IN,1627772110.0
seoul,37.5683,126.9778,80.2,81.0,90.0,3.44,KR,1627772075.0
awbari,26.5921,12.7805,86.92,15.0,0.0,6.42,LY,1627772110.0
chorozinho,-4.3003,-38.4978,80.28,90.0,44.0,4.07,BR,1627772110.0
karwar,14.8,74.1333,78.24,84.0,99.0,14.14,IN,1627772111.0
vysokogornyy,50.1167,139.15,61.95,85.0,99.0,3.4,RU,1627772111.0
klaksvik,62.2266,-6.589,47.32,76.0,87.0,12.17,FO,1627772111.0
ponta do sol,32.6667,-17.1,71.13,57.0,15.0,9.46,PT,1627772112.0
shubarkuduk,49.1447,56.4872,77.4,23.0,1.0,5.26,KZ,1627772027.0
shimanovsk,52.0,127.7,56.25,99.0,100.0,11.56,RU,1627772113.0
codrington,-38.2667,141.9667,44.56,88.0,27.0,8.14,AU,1627772113.0
erdaojiang,41.7764,126.0319,75.9,85.0,38.0,4.47,CN,1627772113.0
taoudenni,22.6783,-3.9836,102.24,12.0,1.0,1.95,ML,1627772114.0
ukiah,39.1502,-123.2078,106.52,21.0,1.0,10.36,US,1627772102.0
sambava,-14.2667,50.1667,66.65,82.0,1.0,12.21,MG,1627772114.0
pangody,65.85,74.4859,47.23,82.0,14.0,7.67,RU,1627772115.0
bilibino,68.0546,166.4372,48.74,53.0,93.0,4.74,RU,1627772115.0
caravelas,-17.7125,-39.2481,67.66,76.0,55.0,10.02,BR,1627772021.0
craig,40.5153,-107.5464,77.99,34.0,73.0,9.71,US,1627772116.0
charcas,23.1333,-101.1167,76.51,37.0,10.0,14.0,MX,1627772116.0
meulaboh,4.1363,96.1285,74.82,85.0,100.0,3.02,ID,1627772116.0
kose,40.21,39.6511,56.93,93.0,31.0,4.27,TR,1627772117.0
adrar,20.5022,-10.0711,88.18,43.0,68.0,24.49,MR,1627772117.0
saurimo,-9.6608,20.3916,58.84,30.0,2.0,5.75,AO,1627772117.0
okato,-39.2,173.8833,52.68,63.0,100.0,2.26,NZ,1627772118.0
comodoro rivadavia,-45.8667,-67.5,49.86,25.0,0.0,16.11,AR,1627772118.0
angul,20.85,85.1,76.24,87.0,100.0,1.95,IN,1627772119.0
deniliquin,-35.5333,144.9667,46.99,90.0,99.0,7.2,AU,1627772119.0
yulara,-25.2406,130.9889,46.24,87.0,28.0,0.0,AU,1627772120.0
bargal,,,,,,,,
miranorte,,,,,,,,
andros town,24.7,-77.7667,87.76,67.0,7.0,12.5,BS,1627772120.0
rafai,4.95,23.9167,68.36,99.0,100.0,5.03,CF,1627772121.0
liverpool,53.4106,-2.9779,59.68,85.0,75.0,3.0,GB,1627772121.0
hasaki,35.7333,140.8333,81.28,83.0,26.0,3.83,JP,1627771870.0
shelburne,44.0787,-80.2041,64.8,67.0,100.0,5.3,CA,1627772122.0
ndioum,16.5129,-14.6471,84.09,50.0,78.0,16.4,SN,1627772122.0
samarai,-10.6167,150.6667,78.24,65.0,88.0,13.89,PG,1627772123.0
sept-iles,50.2001,-66.3821,66.72,76.0,75.0,8.01,CA,1627772016.0
athabasca,54.7169,-113.2854,85.82,20.0,0.0,6.13,CA,1627772123.0
portoferraio,42.8115,10.3146,79.97,88.0,71.0,10.42,IT,1627772124.0
praia,14.9215,-23.5087,77.54,78.0,40.0,13.8,CV,1627772124.0
morgan city,29.6994,-91.2068,89.01,94.0,90.0,0.0,US,1627772124.0
pasni,25.2631,63.471,81.14,86.0,99.0,12.28,PK,1627772125.0
nguiu,,,,,,,,
danshui,22.7984,114.4672,86.67,88.0,93.0,1.41,CN,1627772126.0
boyuibe,-20.4167,-63.2833,67.91,32.0,100.0,5.77,BO,1627772126.0
vilhena,-12.7406,-60.1458,80.82,36.0,0.0,4.61,BR,1627772127.0
angoram,-4.0625,144.0661,79.16,85.0,75.0,3.04,PG,1627772127.0
banda aceh,5.5577,95.3222,79.99,72.0,100.0,14.27,ID,1627772127.0
la ronge,55.1001,-105.2842,79.02,33.0,20.0,5.75,CA,1627772128.0
ngukurr,,,,,,,,
kaabong,3.4836,34.1492,65.1,78.0,97.0,2.86,UG,1627772128.0
lesnoy,57.6198,63.0784,61.7,97.0,99.0,8.21,RU,1627772129.0
jodar,37.8406,-3.3526,74.53,33.0,97.0,4.81,ES,1627772129.0
katherine,-14.4667,132.2667,71.92,73.0,31.0,3.44,AU,1627772130.0
honiara,-9.4333,159.95,81.66,73.0,87.0,3.36,SB,1627772130.0
rostovka,55.3842,71.8891,59.52,93.0,92.0,3.71,RU,1627772130.0
touros,-5.1989,-35.4608,77.9,79.0,85.0,16.46,BR,1627772131.0
grindavik,63.8424,-22.4338,55.35,100.0,90.0,10.36,IS,1627772131.0
arandis,-22.4167,14.9667,68.9,18.0,0.0,19.48,NA,1627772131.0
padang,-0.9492,100.3543,75.94,87.0,100.0,3.38,ID,1627772132.0
julio de castilhos,-29.2269,-53.6817,48.58,79.0,87.0,3.69,BR,1627772132.0
ossora,59.2353,163.0719,56.7,55.0,49.0,4.21,RU,1627772132.0
ngaoundere,7.3167,13.5833,65.14,96.0,100.0,0.4,CM,1627772133.0
saldanha,-33.0117,17.9442,55.45,60.0,35.0,6.67,ZA,1627772133.0
walla walla,46.0646,-118.343,101.48,31.0,91.0,4.0,US,1627772134.0
nishihara,26.1842,127.7558,82.06,97.0,90.0,10.36,JP,1627771881.0
henties bay,-22.116,14.2845,67.96,39.0,0.0,6.89,NA,1627772134.0
petropavlovsk-kamchatskiy,53.0452,158.6483,52.39,100.0,75.0,2.24,RU,1627772135.0
hambantota,6.1241,81.1185,78.91,82.0,69.0,16.73,LK,1627772135.0
norman wells,65.282,-126.8329,82.44,42.0,75.0,8.05,CA,1627771876.0
faya,18.3851,42.4509,62.71,74.0,100.0,5.46,SA,1627772136.0
winslow,35.0242,-110.6974,86.18,30.0,1.0,19.57,US,1627771995.0
piacabucu,-10.4056,-36.4344,73.38,86.0,43.0,17.4,BR,1627771994.0
sire,12.9299,5.2043,79.39,73.0,69.0,10.47,NG,1627772137.0
axams,47.2081,11.2869,55.04,94.0,75.0,2.3,AT,1627772137.0
faanui,-16.4833,-151.75,78.03,63.0,70.0,15.73,PF,1627772138.0
ulaangom,49.9811,92.0667,57.83,69.0,100.0,5.46,MN,1627772138.0
san cristobal,7.7669,-72.225,82.58,92.0,52.0,5.59,VE,1627772138.0
kuche,,,,,,,,
cape canaveral,28.4058,-80.6048,93.22,72.0,1.0,13.8,US,1627772139.0
grand river south east,,,,,,,,
yueyang,29.3333,113.0919,82.58,77.0,12.0,3.15,CN,1627772139.0
kralendijk,12.15,-68.2667,81.45,85.0,1.0,21.41,BQ,1627772140.0
atar,20.5169,-13.0499,93.31,29.0,5.0,9.66,MR,1627772140.0
falealupo,,,,,,,,
lorengau,-2.0226,147.2712,83.44,71.0,56.0,5.03,PG,1627772141.0
amderma,,,,,,,,
tabriz,38.08,46.2919,71.06,49.0,40.0,4.61,IR,1627772141.0
skjervoy,70.0311,20.9714,46.49,74.0,100.0,5.41,NO,1627772142.0
burgersdorp,-30.9977,26.3286,42.85,38.0,16.0,3.22,ZA,1627772142.0
